21:36:39.571 [main] INFO  resources.base - User Have reached the order confirmation page after placing the order
21:36:47.594 [main] INFO  resources.base - User has clicked the Logo from the header of the page
21:36:57.616 [main] INFO  resources.base - User Have reached the Home Page clicking on the Header Logo
21:36:59.966 [main] INFO  resources.base - User has clicked the Logo from the footer of the page
21:37:00.026 [main] INFO  resources.base - User Have reached the Home Page clicking on the footer Logo
21:37:02.602 [main] INFO  resources.base - User has clicked on the Standard Catalog Link from the footer of the page
21:37:02.646 [main] INFO  resources.base - User Have reached the Standard Product page after clicking on the Standard Catalog Link from the footer of the page
21:37:07.474 [main] INFO  resources.base - User has clicked on the All product Link from the footer of the page
21:37:07.484 [main] INFO  resources.base - User Have reached the All Product page after clicking on the Standard Catalog Link from the footer of the page
21:37:20.977 [main] INFO  resources.base - User has clicked on the resources  Link from the footer of the page
21:37:20.982 [main] INFO  resources.base - User Have reached the resources page after clicking on the resources Link from the footer of the page
21:37:27.948 [main] INFO  resources.base - User has clicked on the Special offer Link from the footer of the page
21:37:27.954 [main] INFO  resources.base - User Have reached the Special offer after clicking on the Special offer Link from the footer of the page
21:37:30.283 [main] INFO  resources.base - User has clicked on the Special offer Link from the footer of the page
21:37:30.310 [main] INFO  resources.base - User Have reached the Favorites after clicking on the Favorites Link from the footer of the page
21:37:47.447 [main] INFO  resources.base - User has clicked on the Track button from the header of the page
21:37:47.649 [main] INFO  resources.base - User have reached the Track page after clicking on the Track button from the header of the page
21:37:56.300 [main] INFO  resources.base - User has clicked on the order button from the header of the page
21:37:56.345 [main] INFO  resources.base - User have reached the Order page after clicking on the Order button from the header of the page
21:38:25.319 [main] INFO  resources.base - User has clicked on the Purchase Analysis button from the header of the page
21:38:25.539 [main] INFO  resources.base - User have reached the Purchase Analysis page after clicking on the Purchase Analysis button from the header of the page
21:38:25.681 [main] INFO  resources.base - User have clicked on email icon on purchase analysis Page
21:38:25.950 [main] INFO  resources.base - User have entered the email on email field at purchase analysis Page
21:38:26.234 [main] INFO  resources.base - User have click on Send button at email popup screen at purchase analysis Page
21:38:35.744 [main] INFO  resources.base - User has clicked on the Calendar button from the header of the page
21:38:35.933 [main] INFO  resources.base - User have reached the  Calendar page after clicking on the Calendar button from the header of the page
21:39:05.839 [main] INFO  resources.base - User have reached the expiration report after clicking on the report button from the Calendar page from monthly view tab
21:39:20.578 [main] INFO  resources.base - User have reached the expiration report after clicking on the report button from the Calendar page from Detail view tab
21:39:33.030 [main] INFO  resources.base - User has clicked on the Assets report from Report tab
21:39:33.065 [main] INFO  resources.base - User have reached the assets report after clicking on asset link from report tab
21:39:46.421 [main] INFO  resources.base - User has clicked on the Days To Ship report from Report tab
21:39:46.473 [main] INFO  resources.base - User have reached the Days To Ship report after clicking on Days To Ship link from report tab
21:39:57.671 [main] INFO  resources.base - User has clicked on the Expiration report from Report tab
21:39:57.689 [main] INFO  resources.base - User have reached the Expiration report after clicking on Expiration link from report tab
21:40:08.584 [main] INFO  resources.base - User has clicked on the Inventory report from Report tab
21:40:08.592 [main] INFO  resources.base - User have reached the Inventory report after clicking on Inventory link from report tab
21:40:20.646 [main] INFO  resources.base - User has clicked on the Invoices report from Report tab
21:40:20.691 [main] INFO  resources.base - User have reached the Invoices report after clicking on Invoices link from report tab
21:40:34.475 [main] INFO  resources.base - User has clicked on the Invoice Line report from Report tab
21:40:34.513 [main] INFO  resources.base - User have reached the Invoice Line report after clicking on Invoice Line link from report tab
21:40:43.891 [main] INFO  resources.base - User has clicked on the Licenses report from Report tab
21:40:43.899 [main] INFO  resources.base - User have reached the Licenses report after clicking on Licenses link from report tab
21:40:56.844 [main] INFO  resources.base - User has clicked on the Orders report from Report tab
21:40:56.906 [main] INFO  resources.base - User have reached the Orders report after clicking on Orders link from report tab
21:41:08.664 [main] INFO  resources.base - User has clicked on the Order Line report from Report tab
21:41:08.711 [main] INFO  resources.base - User have reached the Order Line report after clicking on Order Line link from report tab
21:41:17.992 [main] INFO  resources.base - User has clicked on the PARs report from Report tab
21:41:18.038 [main] INFO  resources.base - User have reached the PARs report after clicking on PARs link from report tab
21:41:28.293 [main] INFO  resources.base - User has clicked on the Quotes report from Report tab
21:41:28.345 [main] INFO  resources.base - User have reached the Quotes report after clicking on Quotes link from report tab
21:41:36.994 [main] INFO  resources.base - User has clicked on the Receiving Log report from Report tab
21:41:37.013 [main] INFO  resources.base - User have reached the Receiving Log report after clicking on Receiving Log link from report tab
21:41:47.749 [main] INFO  resources.base - User has clicked on the Shipments report from Report tab
21:41:47.771 [main] INFO  resources.base - User have reached the Shipments report after clicking on Shipments link from report tab
21:41:57.288 [main] INFO  resources.base - User has clicked on the Shipments report from Report tab
21:41:57.354 [main] INFO  resources.base - User have reached the Standards report after clicking on Standards link from report tab
21:42:06.938 [main] INFO  resources.base - User has clicked on the Warranties report from Report tab
21:42:06.947 [main] INFO  resources.base - User have reached the Warranties report after clicking on Warranties link from report tab
21:42:11.738 [main] INFO  resources.base - User has clicked on the Saved Report icon from the header of the page
21:42:11.771 [main] INFO  resources.base - User have reached the  Saved Report page after clicking on the Saved Report icon from the header of the page
21:42:16.384 [main] INFO  resources.base - user is searching printer using the search textbox
21:42:46.712 [main] INFO  resources.base - User Have Successfully reached the Compare page
